"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing JavaScript Source"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing JavaScript Source"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Edit","Move","Alt+Shift+V","Editing JSP Source"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Refactor - JavaScript","Extract Function","Alt+Shift+M","JavaScript View"
"Navigate","Open Declaration","F3","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"Run/Debug","Debug","F11","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing JavaScript Source"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows"
"Terminal view commands","Terminal view insert","Alt+N","Terminal Typing Connected"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Source","Add Import","Ctrl+Shift+M","Editing JavaScript Source"
"Edit","Add Im&port","Ctrl+Shift+M","Editing JSP Source"
"PropertiesEditor","Unicode表示","Ctrl+I","PropertiesEditor"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Debug on Server","Alt+Shift+D, R","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Window","Next Editor","Ctrl+F6","In Windows"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Source","Annotate Class File","Ctrl+1","Browsing attached Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"File","Properties","Alt+Enter","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","Alt+Shift+R","JavaScript View"
"View","Zoom Out","Ctrl+-","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Database Tools","Execute Selected Text","Alt+X","Editing SQL"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Refactor - JavaScript","Change Function Signature","Alt+Shift+C","JavaScript View"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Terminal view commands","Quick Access","Alt+Right","Terminal Control in Focus"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Web Page Editor Layout","Horizontal Layout","Ctrl+Shift+F10","Using Web Page Editor"
"File","Close","Ctrl+F4","In Windows"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+R","Terminal Typing Connected"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Terminal Commands","Open Local Terminal on Selection","Ctrl+Alt+T","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing JavaScript Source"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing JavaScript Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Terminal Commands","Open Terminal","Ctrl+Alt+Shift+T","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Web Page Editor Layout","Vertical Layout","Ctrl+Shift+F9","Using Web Page Editor"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Source","Indent Line","Ctrl+I","Editing JavaScript Source"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Server","Stop","Ctrl+Alt+S","In Servers View"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","Using Web Page Editor"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"PropertiesEditor","评语的转换","Ctrl+/","PropertiesEditor"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Refactor - JavaScript","Extract Local Variable","Alt+Shift+L","JavaScript View"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Window","Activate Editor","F12","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Refactor - JavaScript","Move - Refactoring ","Alt+Shift+V","JavaScript View"
"Source","Add JSDoc Comment","Alt+Shift+J","JavaScript View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+C","Terminal Typing Connected"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Run XSLT Transformation","Alt+Shift+X, X","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing JavaScript Source"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing JavaScript Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Navigate","Open Structure","Ctrl+F3","Editing JavaScript Source"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"File","Save All","Ctrl+Shift+S","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"File","Rename","F2","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Navigate","Open Declaration","F3","JavaScript View"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Text Editing","Line End","End","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Copy Lines","Ctrl+Down","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"SQL Results View","Remove All Visible Results","Shift+Delete","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Views","Documentation","Alt+Shift+Q, J","JavaScript View"
"File","New","Ctrl+N","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"ASA 9.x table schema editor","Paste","Alt+V","In Windows"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Text Editing","Copy Lines","Ctrl+Up","Editing Text"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Navigate","Forward History","Alt+Right","In Windows"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"Database Tools","Execute All","Ctrl+Alt+X","Editing SQL"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Database Tools","Execute Selected Text As One Statement","Alt+C","Editing SQL"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"File","Refresh","F5","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing JavaScript Source"
"Source","Show Source Quick Menu","Alt+Shift+S","JavaScript View"
"Run/Debug","Resume","F8","Debugging"
"Database Tools","Run","Ctrl+Alt+R","Editing SQL"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Views","JavaScript Script Explorer","Alt+Shift+Q, P","JavaScript View"
"Server","Debug","Ctrl+Alt+D","In Servers View"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing JavaScript Source"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Run/Debug","Skip All Breakpoints","Ctrl+Alt+B","In Windows"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Web Page Editor Layout","Source Code","Ctrl+Shift+F12","Using Web Page Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Web Page Editor Layout","Graphical Designer","Ctrl+Shift+F11","Using Web Page Editor"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Run/Debug","Run on Server","Alt+Shift+X, R","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Terminal view commands","Maximize Active View or Editor","Alt+Up","Terminal Control in Focus"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Text Editing","Line Start","Home","Editing Text"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Edit","Context Information","Alt+Shift+?","In Windows"
"JavaScript Debug","Open Source","Ctrl+Shift+3","Debugging"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"SQL Results View","Remove Result","Ctrl+Delete","In Windows"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Edit","Rename","Alt+Shift+R","Editing JSP Source"
"Project","Build All","Ctrl+B","In Windows"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
